architecture,learning_rate,weight_decay,dropout,best_threshold,avg_val_f1,avg_val_auc,avg_val_acc,avg_val_prec,avg_val_rec,avg_val_kappa
128,0.0001,0.01,0.5,0.3,0.456795044979304,0.7181909409434634,0.70457024369319,0.3702672476124038,0.6055808628097417,0.27113662921360493
128,0.0001,0.01,0.6,0.3,0.46159604120444264,0.718156849450433,0.6915855567335317,0.3624926965423848,0.6462402222253625,0.2699736409050201
128,0.0001,0.01,0.7,0.3,0.45190598611218913,0.7126541225929657,0.6867440798469339,0.3528614503299933,0.6330580992479281,0.2563621775323742
128,0.0001,0.001,0.2,0.3,0.450853496086268,0.7149472180274028,0.7009358419327858,0.36520269175984194,0.5949671282681642,0.26266461577803407
128,0.0001,0.001,0.3,0.3,0.4472994067801551,0.7218227374391336,0.6990465533821681,0.36245179493321306,0.6007697730729404,0.2588026627119537
128,0.0001,0.001,0.4,0.3,0.4593601144143715,0.7248244040196795,0.7049360163826576,0.3776930197776669,0.6040275312701741,0.27580729560727874
128,0.0001,0.001,0.5,0.3,0.45688859569893286,0.7102710645508669,0.702969814858224,0.36713727519227185,0.6108610475774023,0.26980658319355716
128,0.0001,0.001,0.6,0.3,0.443668656089457,0.7069752246190214,0.6741895937142091,0.3446883760267351,0.6367902448197109,0.24278552921819596
128,0.0001,0.001,0.7,0.3,0.4398414654103597,0.6947816445567587,0.6702938779673329,0.33876144732646507,0.6359841848312809,0.23592131042306397
128,0.0001,0.0001,0.2,0.3,0.46114957869007717,0.7245118514573858,0.7028370038860866,0.3712419505989569,0.6227809224910097,0.2753286801931503
128,0.0001,0.0001,0.3,0.3,0.45175348240981494,0.7150926693782942,0.7078779279089018,0.3727054144208954,0.5908853697139762,0.2682972862867779
