architecture,learning_rate,weight_decay,dropout,best_threshold,avg_val_f1,avg_val_auc,avg_val_acc,avg_val_prec,avg_val_rec,avg_val_kappa
64_32,0.001,0.01,0.3,0.3,0.483351012608512,0.7399679516256272,0.7187978346645342,0.3982658592478185,0.6345309037817861,0.3075900992891035
64_32,0.001,0.01,0.4,0.3,0.49297107120461936,0.755667262853943,0.727794407846386,0.4101358580996739,0.6356704273541282,0.323149411644826
64_32,0.001,0.01,0.5,0.3,0.472671121714271,0.7370925781938905,0.7214815842452545,0.3945523105020673,0.603297236377905,0.29767796280092934
64_32,0.001,0.01,0.6,0.3,0.47845887598448567,0.7370090204324111,0.7054189618237956,0.3785358442953736,0.659555242272255,0.2946898051463131
64_32,0.001,0.01,0.7,0.3,0.46787637370717955,0.7275121005993133,0.6960273476117965,0.3730893719978961,0.6459608124227455,0.2804702356207021
64_32,0.001,0.001,0.2,0.3,0.4720517623588628,0.7318588500816874,0.7267547807176609,0.4005533959189078,0.5894673866510776,0.30024312545507936
64_32,0.001,0.001,0.3,0.3,0.4873511011791263,0.7373365849355954,0.7276092788430626,0.40859960163896514,0.6204260633391263,0.3170300636315666
64_32,0.001,0.001,0.4,0.3,0.47528166085314927,0.7330663498701369,0.7256501539511658,0.3990453341546902,0.6087160593254834,0.3030919733673638
64_32,0.001,0.001,0.5,0.3,0.476012283722404,0.7288632068017142,0.720550145637079,0.3928079500067899,0.614571361341116,0.2999739213900757
64_32,0.001,0.001,0.6,0.3,0.4529737170319306,0.7142388453417103,0.6996132609644854,0.36734158486312485,0.6067193049195927,0.2653752472134122
64_32,0.001,0.001,0.7,0.3,0.45241036974725335,0.7081909380281849,0.6776019214481561,0.34902582811127153,0.6603867294966463,0.2539946560358879
64_32,0.001,0.0001,0.2,0.3,0.474337191235778,0.7338312802585494,0.713859611909984,0.39336571135462883,0.6216462018751481,0.29646744974701245
64_32,0.001,0.0001,0.3,0.3,0.4665218371434598,0.7281648641731671,0.7190491804459472,0.3858301006513022,0.5963161443994227,0.2888826546264013
64_32,0.001,0.0001,0.4,0.3,0.4647678650351327,0.7207750653696695,0.7002300081086745,0.38332409005007767,0.6223398223831083,0.2819397112556966
64_32,0.001,0.0001,0.5,0.3,0.45799500775559865,0.7258308588585367,0.7108816827996656,0.3790757053471713,0.5930598295794205,0.2766742348587698
64_32,0.001,0.0001,0.6,0.3,0.4541886345803655,0.7084043133852889,0.6924944767767516,0.36395165465637014,0.6181388183705528,0.26326673361077574
64_32,0.001,0.0001,0.7,0.4,0.4472087832995184,0.7065481697816424,0.6780603674293181,0.34586805133045206,0.6410236762979697,0.24778091311923714
64_32,0.001,1e-05,0.2,0.3,0.4710629570163853,0.7350265872159865,0.7212707857753543,0.3887459761965545,0.6107046781934096,0.29519993596938976
64_32,0.001,1e-05,0.3,0.3,0.46571884389669443,0.7180858764803143,0.6929351960163078,0.381454630585803,0.6338130047796531,0.2798192568145656
64_32,0.001,1e-05,0.4,0.5,0.44999780724815935,0.7174089378617864,0.7128057548043214,0.3781246516223167,0.5796391027830319,0.2700061555431426
64_32,0.001,1e-05,0.5,0.3,0.46106259603009353,0.7110291785118352,0.7089834803954689,0.37942676910423573,0.603195688573981,0.27901671356605656
64_32,0.001,1e-05,0.6,0.3,0.45826068199487047,0.7157214281001489,0.6801676401387289,0.36476312267680416,0.6459258391245669,0.264905908285993
64_32,0.001,1e-05,0.7,0.3,0.44338488295281503,0.7049094515915826,0.6794230497588888,0.3453897631830186,0.6291694715340693,0.24443697509378765
64_32,0.0001,0.01,0.2,0.3,0.476735449680821,0.7236756192905736,0.6944362419585856,0.3727056554886976,0.6757809503094622,0.288166392388605
64_32,0.0001,0.01,0.3,0.3,0.466357127935221,0.7156129949927896,0.6796323002576518,0.36579393465834825,0.6686730281187904,0.2718887058622328
64_32,0.0001,0.01,0.4,0.3,0.4770871533646993,0.7154471378794217,0.6779648112745472,0.36834572988600184,0.6990188897039212,0.2837965200523881
64_32,0.0001,0.01,0.5,0.3,0.45614775690599396,0.7083777764137655,0.6740424611222855,0.3493980919311775,0.6643826792922746,0.25582321600098856
